Change ID,Target Table Type,Target Schema,Target Table,Target Column,Target Column Data Type,Stage DB Schema,Stage Table,Stage Column,Landing DB Schema,Landing Source Table,Landing Source Column,Source DB Schema,Source Table,Source Column,Source Data Type,Transformation,Comment,Package Name,Source Query,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimDate,DaySuffix,varchar(4),ERP_STG,CalendarDate,DaySuffix,,,,,,CASE WHEN DATEPART(DD, @CurrentDate) IN (11,12,13) THEN CAST(DATEPART(DD, @CurrentDate) AS VARCHAR) + 'th' WHEN RIGHT(DATEPART(DD, @CurrentDate),1) = 1 THEN CAST(DATEPART(DD, @CurrentDate) AS VARCHAR) + 'st' WHEN RIGHT(DATEPART(DD, @CurrentDate),1) = 2 THEN CAST(DATEPART(DD, @CurrentDate) AS VARCHAR) + 'nd' WHEN RIGHT(DATEPART(DD, @CurrentDate),1) = 3 THEN CAST(DATEPART(DD, @CurrentDate) AS VARCHAR) + 'rd' ELSE CAST(DATEPART(DD, @CurrentDate) AS VARCHAR) + 'th' END,Suffix as 1st, 2nd, 3rd, etc.,,
1,Dimension,Shared_SC,DimDate,DayName,varchar(9),ERP_STG,CalendarDate,DayName,,,,,,DATENAME(DW, @CurrentDate),Name of the day, e.g., Sunday, Monday,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimDate,DaySeqInWeek,char(1),ERP_STG,CalendarDate,DaySeqInWeek,,,,,,DATEPART(DW, @CurrentDate),First Day Sunday=1 and Saturday=7,,,,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimDate,WeekInMonth,varchar(2),ERP_STG,CalendarDate,WeekInMonth,,,,,,MonthCount from @DayOfWeek WHERE DOW = DATEPART(DW, @CurrentDate),1st Monday or 2nd Monday in Month,,,,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimDate,WeekInYear,varchar(2),ERP_STG,CalendarDate,WeekInYear,,,,,,YearCount from @DayOfWeek WHERE DOW = DATEPART(DW, @CurrentDate),Week number in Year,,,,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimDate,WeekInYearName,varchar(3),ERP_STG,CalendarDate,WeekInYearName,,,,,,'W' + CONVERT(VARCHAR, @WeekInYear),Format W + WeekInYear, e.g., W01,,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimDate,WeekInYearDesc,varchar(8),ERP_STG,CalendarDate,WeekInYearDesc,,,,,,'W' + CONVERT(VARCHAR, @WeekInYear) + '-' + CONVERT(VARCHAR, DATEPART(YY, @CurrentDate)),Format W + WeekInYear + - + Year, e.g., W01-2023,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimDate,WeekInYearNum,varchar(6),ERP_STG,CalendarDate,WeekInYearNum,,,,,,CONVERT(VARCHAR, DATEPART(YY, @CurrentDate)) + RIGHT('0' + CONVERT(VARCHAR, DATEPART(MM, @WeekInYear)), 2),Format YYYYMM, e.g.,202301,,,,,,,,,,,,
1,Dimension,Shared_SC,DimDate,WeekInQuarter,varchar(3),ERP_STG,CalendarDate,WeekInQuarter,,,,,,QuarterCount from @DayOfWeek WHERE DOW = DATEPART(DW, @CurrentDate),Week number in Quarter,,,,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimDate,DayOfYear,varchar(3),ERP_STG,CalendarDate,DayOfYear,,,,,,DATEPART(DY, @CurrentDate),Day number in Year,,,,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimDate,Month,varchar(2),ERP_STG,CalendarDate,Month,,,,,,DATEPART(MM, @CurrentDate),Number of the Month 1 to 12,,,,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimDate,MonthName,varchar(9),ERP_STG,CalendarDate,MonthName,,,,,,DATENAME(MM, @CurrentDate),January, February, etc.,,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimDate,MonthOfQuarter,varchar(2),ERP_STG,CalendarDate,MonthOfQuarter,,,,,,CASE WHEN DATEPART(MM, @CurrentDate) IN (1,4,7,10) THEN 1 WHEN DATEPART(MM, @CurrentDate) IN (2,5,8,11) THEN 2 WHEN DATEPART(MM, @CurrentDate) IN (3,6,9,12) THEN 3 END,Month number belongs to Quarter,,,,,,,
1,Dimension,Shared_SC,DimDate,Quarter,char(1),ERP_STG,CalendarDate,Quarter,,,,,,DATEPART(QQ, @CurrentDate),Hierarchy, CEIL(MONTH/3),,,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimDate,QuarterName,varchar(9),ERP_STG,CalendarDate,QuarterName,,,,,,CASE DATEPART(QQ, @CurrentDate) WHEN 1 THEN 'Q1' WHEN 2 THEN 'Q2' WHEN 3 THEN 'Q3' WHEN 4 THEN 'Q4' END,First, Second, Q1, Q2, etc.,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimDate,QuarterYear,varchar(9),ERP_STG,CalendarDate,QuarterYear,,,,,,CASE DATEPART(QQ, @CurrentDate) WHEN 1 THEN 'Q1-' + CONVERT(VARCHAR, DATEPART(YY, @CurrentDate)) WHEN 2 THEN 'Q2-' + CONVERT(VARCHAR, DATEPART(YY, @CurrentDate)) WHEN 3 THEN 'Q3-' + CONVERT(VARCHAR, DATEPART(YY, @CurrentDate)) WHEN 4 THEN 'Q4-' + CONVERT(VARCHAR, DATEPART(YY, @CurrentDate)) END,Format Q + Quarter + - + Year, e.g., Q1-2023,,,,,,,,
1,Dimension,Shared_SC,DimDate,QuarterYearNum,varchar(9),ERP_STG,CalendarDate,QuarterYearNum,,,,,,CASE DATEPART(QQ, @CurrentDate) WHEN 1 THEN CONVERT(VARCHAR, DATEPART(YY, @CurrentDate)) + '01' WHEN 2 THEN CONVERT(VARCHAR, DATEPART(YY, @CurrentDate)) + '02' WHEN 3 THEN CONVERT(VARCHAR, DATEPART(YY, @CurrentDate)) + '03' WHEN 4 THEN CONVERT(VARCHAR, DATEPART(YY, @CurrentDate)) + '04' END,Format YYYY + QuarterNum, e.g.,202301,,,,,,,,
1,Dimension,Shared_SC,DimDate,Year,char(4),ERP_STG,CalendarDate,Year,,,,,,DATEPART(YEAR, @CurrentDate),Year value of Date stored in Row,,,,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimDate,MonthYear,char(10),ERP_STG,CalendarDate,MonthYear,,,,,,LEFT(DATENAME(MM, @CurrentDate), 3) + '-' + CONVERT(VARCHAR, DATEPART(YY, @CurrentDate)),Format MMM-YYYY, e.g., Jan-2023,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimDate,MonthYearNUM,char(6),ERP_STG,CalendarDate,MonthYearNUM,,,,,,CONVERT(VARCHAR, DATEPART(YY, @CurrentDate)) + RIGHT('0' + CONVERT(VARCHAR, DATEPART(MM, @CurrentDate)), 2),Format YYYYMM, e.g.,202301,,,,,,,,,,,,
1,Dimension,Shared_SC,DimDate,FirstDayOfMonth,Date,ERP_STG,CalendarDate,FirstDayOfMonth,,,,,,CONVERT(DATETIME, CONVERT(DATE, DATEADD(DD, - (DATEPART(DD, @CurrentDate) - 1), @CurrentDate))),First day of the month,,,,,,,,,,,,,,
